Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area,Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,percentage_pop,TotalFert,Odds
Djibouti,990447,1.48%,14440,43,23180,900,2.8,27,79%,0.01%,0.000126843,0.00035516,0.000144243
Fiji,897573,0.73%,6492,49,18270,-6202,2.8,28,59%,0.01%,0.000114949,0.000321857,0.000130717
Réunion,896422,0.72%,6385,358,2500,-1256,2.3,36,100%,0.01%,0.000114802,0.000264044,0.000107237
Comoros,872695,2.20%,18715,467,1861,-2000,4.2,20,29%,0.01%,0.000111763,0.000469404,0.000190641
Guyana,787215,0.48%,3786,4,196850,-6000,2.5,27,27%,0.01%,0.000100816,0.000252039,0.000102362
Bhutan,773069,1.12%,8516,20,38117,320,2,28,46%,0.01%,9.90E-05,0.000198008,8.04E-05
Solomon Islands,689671,2.55%,17061,25,27990,-1600,4.4,20,23%,0.01%,8.83E-05,0.000388624,0.000157834
Macao,650846,1.39%,8890,21645,30,5000,1.2,39,N.A.,0.01%,8.34E-05,0.000100022,4.06E-05
Montenegro,628080,0.01%,79,47,13450,-480,1.8,39,68%,0.01%,8.04E-05,0.000144785,5.88E-05
Luxembourg,627704,1.66%,10249,242,2590,9741,1.5,40,88%,0.01%,8.04E-05,0.000120582,4.90E-05
Western Sahara,599769,2.55%,14876,2,266000,5582,2.4,28,87%,0.01%,7.68E-05,0.000184345,7.49E-05
Suriname,587541,0.90%,5260,4,156000,-1000,2.4,29,65%,0.01%,7.52E-05,0.000180586,7.33E-05
Cabo Verde,557026,1.10%,6052,138,4030,-1342,2.3,28,68%,0.01%,7.13E-05,0.000164074,6.66E-05
Maldives,542151,1.81%,9591,1802,300,11370,1.9,30,35%,0.01%,6.94E-05,0.00013192,5.36E-05
Malta,441750,0.27%,1171,1380,320,900,1.5,43,93%,0.01%,5.66E-05,8.49E-05,3.45E-05
Brunei,438202,0.97%,4194,83,5270,0,1.8,32,80%,0.01%,5.61E-05,0.000101014,4.10E-05
Guadeloupe,400136,0.02%,68,237,1690,-1440,2.2,44,N.A.,0.01%,5.12E-05,0.000112737,4.58E-05
Belize,398845,1.86%,7275,17,22810,1200,2.3,25,46%,0.01%,5.11E-05,0.000117481,4.77E-05
Bahamas,393893,0.97%,3762,39,10010,1000,1.8,32,86%,0.01%,5.04E-05,9.08E-05,3.69E-05
Martinique,375213,-0.08%,-289,354,1060,-960,1.9,47,92%,0.00%,4.81E-05,9.13E-05,3.71E-05
Iceland,341628,0.65%,2212,3,100250,380,1.8,37,94%,0.00%,4.38E-05,7.88E-05,3.20E-05
Vanuatu,308337,2.42%,7263,25,12190,120,3.8,21,24%,0.00%,3.95E-05,0.000150053,6.09E-05
